@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
0.148,0.032,0.191,0.478,0.177,0.738,0.557,0.206,0.551,0,4,2,10,0.000,6.176,0,1480.000,1616.000,315.000,1.000,0.000,0.000,0.000,nada
0.075,0.139,0.208,0.296,0.451,0.767,0.387,0.558,0.564,0,4,4,10,0.000,6.212,0,799.000,743.000,785.000,1.000,0.000,0.000,0.000,nada
0.078,0.083,0.186,0.349,0.344,0.722,0.353,0.395,0.546,0,4,4,10,0.000,6.251,0,796.000,792.000,315.000,1.000,0.000,0.000,0.000,nada
0.110,0.082,0.258,0.415,0.364,0.885,0.450,0.356,0.670,0,4,4,10,0.000,6.098,0,1540.000,1591.000,762.000,1.000,0.000,0.000,0.000,nada
0.073,0.105,0.205,0.261,0.438,0.768,0.379,0.437,0.626,0,2,6,10,0.000,6.180,0,1474.000,534.000,389.000,1.000,0.000,0.000,0.000,nada
0.026,0.035,0.204,0.159,0.195,0.788,0.174,0.218,0.492,0,2,4,10,0.000,6.506,0,1638.000,834.000,318.000,1.000,0.000,0.000,0.000,nada
0.063,0.109,0.169,0.245,0.363,0.651,0.340,0.510,0.514,0,4,6,8,0.000,6.322,0,810.000,522.000,397.000,1.000,0.000,0.000,0.000,nada
0.054,0.051,0.166,0.258,0.276,0.667,0.303,0.264,0.470,0,4,4,8,0.000,6.455,0,817.000,820.000,534.000,1.000,0.000,0.000,0.000,nada
0.078,0.027,0.125,0.423,0.183,0.590,0.330,0.176,0.411,0,8,4,10,0.000,6.455,0,409.000,840.000,326.000,1.000,0.000,0.000,0.000,nada
0.135,0.087,0.093,0.447,0.340,0.290,0.539,0.421,0.445,0,4,4,2,0.000,6.149,0,747.000,788.000,1408.000,1.000,0.000,0.000,0.000,nada
41.052,7.161,2.648,22.725,4.082,1.807,5.095,3.306,2.747,0,140,28,18,5.696,0.892,22,8.000,83.000,93.000,1.000,0.405,0.327,0.210,humo
48.725,9.501,2.866,27.179,5.509,2.386,5.192,3.406,2.822,0,166,38,30,204.000,1.020,26,1.000,41.000,67.000,1.000,0.398,0.382,0.257,humo
41.874,7.765,2.527,23.397,4.448,1.909,5.107,3.298,2.709,0,152,34,26,6.000,1.052,22,2.000,44.000,42.000,1.000,0.415,0.403,0.430,humo
42.758,8.411,2.736,23.721,4.898,2.103,4.902,3.534,2.708,0,142,34,26,9.696,1.216,23,34.000,63.000,45.000,1.000,0.411,0.190,0.249,humo
47.804,9.631,2.731,27.796,6.003,2.379,5.492,3.805,2.748,0,194,44,34,0.720,0.639,25,8.000,78.000,45.000,1.000,0.439,0.403,0.172,humo
97.146,28.174,3.338,56.214,18.716,4.692,6.404,5.134,3.113,1,326,116,68,148.000,0.819,57,13.000,4.000,16.000,1.000,0.441,0.438,0.276,humo
107.082,35.146,4.155,61.311,21.221,4.970,6.177,4.811,3.356,1,342,120,64,102.000,0.634,67,17.000,9.000,26.000,1.000,0.424,0.417,0.007,humo
45.232,12.697,3.476,27.493,8.405,3.271,5.520,3.929,3.293,0,212,70,42,10.880,1.217,24,4.000,85.000,15.000,1.000,0.421,0.417,0.300,nada
25.468,6.894,3.893,17.672,5.661,3.681,5.541,4.035,3.517,0,116,46,34,103.000,0.811,11,2.000,12.000,24.000,1.000,0.356,0.293,0.255,nada
18.058,5.019,4.898,12.818,3.918,3.242,5.115,3.729,3.540,0,88,38,30,259.000,1.173,8,2.000,15.000,21.000,1.000,0.379,0.372,0.181,nada
80.959,15.052,2.556,10.354,2.880,1.395,5.032,3.404,2.470,0,74,24,20,5.676,0.963,34,4.000,31.000,65.000,0.250,0.300,0.327,0.022,humo
100.594,22.550,2.377,18.747,7.507,1.383,5.987,4.576,2.465,1,162,68,18,3.308,0.597,39,2.000,5.000,70.000,0.408,0.422,0.363,0.073,humo
94.489,20.752,2.399,19.408,7.247,1.623,6.015,4.581,2.667,1,162,66,18,4.182,0.622,36,1.000,6.000,58.000,0.471,0.381,0.280,0.222,humo
81.918,17.408,2.605,9.491,2.671,1.474,5.090,3.406,2.562,0,76,34,18,6.931,0.889,34,2.000,26.000,73.000,0.296,0.391,0.197,0.023,humo
74.315,15.238,2.415,6.597,2.110,1.269,4.532,3.037,2.361,0,74,26,14,11.677,1.616,31,16.000,47.000,116.000,0.273,0.406,0.291,0.250,humo
118.496,31.966,3.442,25.550,12.206,3.026,6.443,5.380,3.315,1,210,108,36,1.463,0.393,53,0.000,20.000,18.000,0.491,0.285,0.024,0.295,humo
118.513,38.686,3.555,22.413,10.071,2.313,6.289,5.177,3.154,1,248,122,24,1.625,0.377,52,0.000,2.000,31.000,0.677,0.364,0.294,0.120,humo
62.535,17.431,4.858,22.591,8.161,4.425,6.008,4.536,3.777,0,188,78,76,5.719,0.821,32,3.000,14.000,9.000,0.923,0.402,0.399,0.093,nada
26.053,7.269,5.376,16.557,6.387,4.297,5.349,4.262,3.848,0,144,60,54,30.750,0.996,8,12.000,7.000,10.000,0.949,0.419,0.350,0.066,nada
13.118,4.384,6.437,4.171,2.250,2.472,3.610,2.815,3.248,0,68,46,38,84.286,2.379,7,17.000,43.000,39.000,0.862,0.424,0.333,0.359,nada
118.877,27.670,2.352,14.167,5.461,1.128,5.690,4.359,2.210,1,120,48,12,2.132,0.559,49,2.000,8.000,142.000,0.288,0.416,0.383,0.750,humo
